,phi,dphi,delta,rhoChi,kh,t,N,a,E,B,G,khO,khE,H,sigmaE,sigmaB,kS,s,xi,xieff,sigmaEkh,sigmaBkh,skh,xieffkh
26,15.549999996578764,-0.12844042551564466,1.0,0.0,3.2110107237750554,2.6636767613982556e-08,2.6636767611056342e-08,1.000000026636768,1.3750466410020965e-07,2.2195164424485423e-07,-3.479342825537744e-08,3.2110107237750554,3.211010723775061,0.9999999997802875,1.8026018355808851e-06,0.0,0.012249916466765277,0.0,-1.605505319298308,-1.605505319298308,0.0,0.0,0.0,-1.605505319298308
27,15.549999965787624,-0.1284404253885674,1.0,0.0,3.2110114935537304,2.663676761398256e-07,2.6636767584720395e-07,1.0000002663677112,1.3750461054120136e-06,2.2195157685366217e-06,-3.4793428248281184e-07,3.2110114935537304,3.2110114935538894,0.9999999978028743,5.770804607261785e-06,0.0,0.021828436349146076,0.0,-1.6055053208845897,-1.6055053208845897,0.0,0.0,0.0,-1.6055053208845897
28,15.549999657876226,-0.12844042411779968,1.0,0.0,3.21101919135642,2.6636767613982553e-06,2.6636767321360927e-06,1.0000026636802797,1.375040749535644e-05,2.219509029446013e-05,-3.47934281774252e-06,3.21101919135642,3.211019191361486,0.9999999780287429,1.8476360023695857e-05,0.0,0.038897351187845985,0.0,-1.6055053367474665,-1.6055053367474665,0.0,0.0,0.0,-1.6055053367474665
29,15.549997520541737,-0.12844041529715122,1.0,0.0,3.2110726256175646,1.9304345590883303e-05,1.930434405395525e-05,1.000019304530384,9.964997887921118e-05,0.00016085003036739678,-2.5215675081536084e-05,3.2110726256175646,3.211072625717502,0.9999998407687007,5.027622874142508e-05,0.0,0.06393593445944692,0.0,-1.6055054468611083,-1.6055054468611083,0.0,0.0,0.0,-1.6055054468611083
30,15.549987397361273,-0.12844037352537885,1.0,0.0,3.2113257269747044,9.812051951016276e-05,9.812047980353954e-05,1.0000981252937753,0.0005064357484961155,0.0008174864280504723,-0.00012816614590950839,3.2113257269747044,3.211325728130473,0.9999991906561838,0.00011435265076671305,0.0,0.09614645975701418,0.0,-1.6055059684735629,-1.6055059684735629,0.0,0.0,0.0,-1.6055059684735629
31,15.549951870329656,-0.12844022700647909,1.0,0.0,3.212214198628593,0.00037472398077493694,0.00037472340165846163,1.0003747936192429,0.0019331693935218499,0.0031208229137225153,-0.0004894562793823839,3.212214198628593,3.212214207321134,0.9999969091053319,0.0002250784338204842,0.0,0.13459282073614423,0.0,-1.6055078000364873,-1.6055078000364873,0.0,0.0,0.0,-1.6055078000364873
32,15.54985350263774,-0.12843982195600417,1.0,0.0,3.2146759116149215,0.0011405887676516264,0.0011405834022749975,1.0011412341148975,0.005876345466515043,0.009489111802423641,-0.0014896731339186736,3.2146759116149215,3.2146759580918722,0.9999905919322063,0.00039489027828886397,0.0,0.17803586921103848,0.0,-1.6055128792240634,-1.6055128792240634,0.0,0.0,0.0,-1.6055128792240634
33,15.549627900319614,-0.12843889649137896,1.0,0.0,3.220330816703701,0.0028970777458304548,0.0028970431311569,1.002901243615958,0.014879555017891481,0.024042561390167264,-0.0037827674931850816,3.220330816703701,3.2203310060830836,0.9999761038265147,0.0006318194256880847,0.0,0.22517139509288164,0.0,-1.6055245720359452,-1.6055245720359452,0.0,0.0,0.0,-1.6055245720359452
34,15.549183255812823,-0.1284370866681065,1.0,0.0,3.2315118927502855,0.006359016902180627,0.006358850133001534,1.006379110542044,0.032459137822775756,0.05251255745578159,-0.008298243186118073,3.2315118927502855,3.2315125128951268,0.9999475492087196,0.0009378366334478729,0.0,0.2748002327592101,0.0,-1.605547795603649,-1.605547795603649,0.0,0.0,0.0,-1.605547795603649
35,15.548409387961096,-0.1284339812275986,1.0,0.0,3.2510814300905015,0.012384357834842579,0.012383725312722926,1.0124607211425032,0.06253561087841382,0.10138643573818845,-0.016142998321885312,3.2510814300905015,3.2510831290615534,0.9998978531546707,0.001307954860911255,0.0,0.32590870368592,0.0,-1.605588771172854,-1.605588771172854,0.0,0.0,0.0,-1.605588771172854
36,15.54719474740213,-0.12842921863168769,1.0,0.0,3.2820723307013338,0.02184184856201462,0.021839881144640295,1.0220801170692384,0.10843642173403058,0.17638725932096094,-0.028417371264350004,3.2820723307013338,3.282076348510417,0.9998198540608293,0.0017306323079954793,0.0,0.37773542501516233,0.0,-1.605654485031286,-1.605654485031286,0.0,0.0,0.0,-1.605654485031286
37,15.545442559043279,-0.12842258162697184,1.0,0.0,3.3273624196624105,0.03548542564192972,0.03548023283545284,1.03611716682711,0.17193432802525413,0.28099595152241036,-0.046037439009329835,3.3273624196624105,3.3273708382678286,0.9997073409170205,0.0021902340915346177,0.0,0.4298789054056211,0.0,-1.6057522083059232,-1.6057522083059232,0.0,0.0,0.0,-1.6057522083059232
