,phi,dphi,delta,rhoChi,kh,t,N,a,E,B,G,H,sigmaE,sigmaB,s,xi,xieff
42,15.55,-0.12844042552976434,1.0,1.3766404022978633e-67,3.211010638244109,1.694267489496762e-26,1.6942674894967616e-26,1.0,8.746169786737032e-26,1.4117533824694875e-25,-2.213082878405094e-26,1.0,0.0,9.194059680105145e-16,0.0,-1.6055053191220543,-1.6055053191220539
43,15.55,-0.12844042552976434,1.0,4.400065024507507e-65,3.211010638244109,1.694267489496762e-25,1.6942674894967619e-25,1.0,8.74616978673703e-25,1.4117533824694864e-24,-2.213082878405093e-25,1.0,0.0,2.938675497874342e-15,0.0,-1.6055053191220543,-1.6055053191220527
44,15.55,-0.12844042552976434,1.0,1.4064715249359544e-62,3.211010638244109,1.6942674894967622e-24,1.694267489496762e-24,1.0,8.746169786737021e-24,1.411753382469484e-23,-2.213082878405089e-24,1.0,0.0,9.393540104204144e-15,0.0,-1.6055053191220543,-1.6055053191220496
45,15.55,-0.12844042552976434,1.0,4.496105984468294e-60,3.211010638244109,1.6942674894967625e-23,1.6942674894967622e-23,1.0,8.74616978673699e-23,1.411753382469477e-22,-2.2130828784050795e-23,1.0,0.0,3.002899424567246e-14,0.0,-1.6055053191220543,-1.6055053191220392
46,15.55,-0.12844042552976434,1.0,1.437395808155538e-57,3.211010638244109,1.6942674894967626e-22,1.6942674894967624e-22,1.0,8.74616978673688e-22,1.4117533824694535e-21,-2.213082878405047e-22,1.0,0.0,9.600339765165541e-14,0.0,-1.6055053191220543,-1.6055053191220063
47,15.55,-0.12844042552976434,1.0,4.595692346061108e-55,3.211010638244109,1.6942674894967628e-21,1.6942674894967624e-21,1.0,8.746169786736525e-21,1.4117533824693778e-20,-2.213082878404944e-21,1.0,0.0,3.06949724355444e-13,0.0,-1.6055053191220543,-1.6055053191219009
48,15.55,-0.12844042552976434,1.0,1.4694701681792344e-52,3.211010638244109,1.694267489496763e-20,1.6942674894967626e-20,1.0,8.746169786735385e-20,1.4117533824691335e-19,-2.2130828784046106e-20,1.0,0.0,9.814840235031323e-13,0.0,-1.6055053191220543,-1.6055053191215636
49,15.55,-0.12844042552976434,1.0,4.69901008651627e-50,3.211010638244109,1.6942674894967627e-19,1.6942674894967625e-19,1.0,8.746169786731735e-19,1.4117533824683543e-18,-2.213082878403544e-19,1.0,0.0,3.1385936409679106e-12,0.0,-1.6055053191220543,-1.605505319120485
50,15.55,-0.12844042552976434,1.0,1.5027553887982364e-47,3.211010638244109,1.6942674894967629e-18,1.6942674894967625e-18,1.0,8.74616978672006e-18,1.4117533824658633e-17,-2.2130828784001333e-18,1.0,0.0,1.0037449048254798e-11,0.0,-1.6055053191220543,-1.6055053191170356
51,15.55,-0.12844042552976434,1.0,4.806257916699854e-45,3.211010638244109,1.694267489496763e-17,1.6942674894967626e-17,1.0,8.746169786682725e-17,1.4117533824578953e-16,-2.2130828783892294e-17,1.0,0.0,3.210321851284046e-11,0.0,-1.6055053191220543,-1.6055053191060027
52,15.55,-0.12844042552976434,1.0,1.5373164474802347e-42,3.21101063824411,1.694267489496763e-16,1.6942674894967627e-16,1.0000000000000002,8.746169786563315e-16,1.411753382432406e-15,-2.2130828783543426e-16,1.0,0.0,1.0268601893819107e-10,0.0,-1.6055053191220543,-1.6055053190707114
53,15.55,-0.12844042552976434,1.0,4.917648362915041e-40,3.211010638244115,1.694267489496763e-15,1.6942674894967626e-15,1.0000000000000018,8.746169786181294e-15,1.411753382350867e-14,-2.2130828782427468e-15,1.0,0.0,3.284824384637423e-10,0.0,-1.6055053191220543,-1.605505318957813
54,15.549999999999999,-0.12844042552976434,1.0,1.5732228742429103e-37,3.211010638244164,1.6942674894967632e-14,1.694267489496763e-14,1.0000000000000169,8.746169784958953e-14,1.411753382089979e-13,-2.2130828778857185e-14,1.0,0.0,1.0508765028928069e-09,0.0,-1.6055053191220543,-1.605505318596616
55,15.54999999999998,-0.12844042552976426,1.0,5.033408956600226e-35,3.211010638244654,1.6942674894967632e-13,1.694267489496762e-13,1.0000000000001694,8.746169781046301e-13,1.411753381255037e-12,-2.2130828767433295e-13,0.9999999999999987,0.0,3.362253827823033e-09,0.0,-1.6055053191220554,-1.6055053174409284
56,15.549999999999784,-0.12844042552976345,1.0,1.6105491449113346e-32,3.21101063824955,1.694267489496763e-12,1.6942674894967514e-12,1.0000000000016942,8.746169768509146e-12,1.4117533785810896e-11,-2.2130828730872165e-12,0.999999999999986,0.0,1.0758437935035179e-08,0.0,-1.6055053191220656,-1.6055053137428466
57,15.549999999997825,-0.12844042552975538,1.0,5.153783521478508e-30,3.211010638298513,1.6942674894967628e-11,1.6942674894966443e-11,1.0000000000169427,8.746169728215002e-11,1.4117533700013373e-10,-2.2130828613805194e-11,0.9999999999998602,0.0,3.4427737220855776e-08,0.0,-1.6055053191221667,-1.605505301908298
58,15.54999999997824,-0.12844042552967455,1.0,1.649375088626619e-27,3.2110106387881405,1.694267489496763e-10,1.694267489495579e-10,1.0000000001694267,8.74616959751898e-10,1.4117533423144462e-09,-2.213082823847056e-10,0.9999999999986027,0.0,1.1018156185677296e-07,0.0,-1.6055053191231752,-1.6055052640323944
59,15.54999999978239,-0.12844042552886625,1.0,5.279033309709499e-25,3.2110106436844204,1.6942674894967631e-09,1.6942674894849243e-09,1.0000000016942674,8.746169161819315e-09,1.4117532514156157e-08,-2.213082703041642e-09,0.999999999986025,0.0,3.526559462143564e-07,0.0,-1.605505319133265,-1.605505142805292
60,15.549999997823878,-0.12844042552078333,1.0,1.6897860076393569e-22,3.211010692647207,1.694267489496763e-08,1.6942674893783756e-08,1.000000016942675,8.746167593364256e-08,1.4117529376399507e-07,-2.2130823096292378e-08,0.9999999998602489,0.0,1.128849377059223e-06,0.0,-1.6055053192341628,-1.6055047548094743
61,15.549999978238759,-0.1284404254399541,1.0,5.409433671963323e-20,3.2110111822748424,1.6942674894967628e-07,1.6942674883128836e-07,1.0000001694267633,8.746160834641912e-07,1.4117517050963977e-06,-2.213080983085531e-07,0.9999999986024888,0.0,3.613798045340397e-06,0.0,-1.605505320243138,-1.6055035133441127
62,15.549999782387566,-0.12844042463166389,1.0,1.7318642802549747e-17,3.2110160785465824,1.6942674894967627e-06,1.6942674776579725e-06,1.000001694268913,8.746121820939e-06,1.4117454786613595e-05,-2.2130760650004277e-06,0.9999999860248859,0.0,1.1570040843906078e-05,0.0,-1.6055053303329188,-1.605499545312416
63,15.549997823875705,-0.12844041654896513,1.0,5.545060382718862e-15,3.2110650413919917,1.6942674894967628e-05,1.6942673711088597e-05,1.000016942817239,8.745823168795668e-05,0.00014117027412456897,-2.213053606478877e-05,0.9999998602488672,0.0,3.704623750412185e-05,0.0,-1.6055054312332668,-1.605486908111926
64,15.549978238763877,-0.12844033574230965,1.0,1.7750724455278519e-12,3.21155470151557,0.00016942674894967628,0.00016942663056182278,1.000169440984064,0.0008743130155309819,0.0014113379595400767,-0.0002212914524494839,0.9999986024895517,0.0,0.00011861486800814342,0.0,-1.6055064404908959,-1.605447132974009
65,15.549782388322216,-0.12843952970549596,1.0,5.666791763865194e-10,3.2164550761165827,0.001694267489496763,0.001694255650761005,1.0016956917127702,0.008717198592908237,0.014078973003096287,-0.0022117962616474375,0.9999860249832916,0.0,0.0003793157397865085,0.0,-1.6055165584394293,-1.6053268979190272
66,15.548939763060185,-0.12843610351088358,1.0,2.95500993639436e-08,3.2376207155276213,0.008254837585934796,0.008254556557245565,1.00828871934408,0.04193998719736393,0.06789301371848921,-0.010754488249137707,0.9999319125217375,0.0,0.0008393356213323815,0.0,-1.6055606124593447,-1.6051409160726098
67,15.547871326979667,-0.12843185484440814,1.0,1.665894171199621e-07,3.2646539581623406,0.016573789944490054,0.016572657107305613,1.0167107453642092,0.08288297745482519,0.13456406710055574,-0.021538169823275922,0.9998633007907345,0.0,0.0011844944117740048,0.0,-1.6056176722212772,-1.6050253440445967
68,15.54656260639331,-0.12842679286490027,1.0,5.421970497675256e-07,3.298068750855203,0.02676399167108056,0.02676103764843732,1.0271223298679795,0.13129625407323714,0.21392114189389716,-0.0346747103484343,0.9997792617644168,0.0,0.001494788028670682,0.0,-1.6056893478447913,-1.6049417888155948
69,15.544966347439294,-0.12842082417532846,1.0,1.3752008934622118e-06,3.3392809081517716,0.03919361202526722,0.03918727728973886,1.039965227283247,0.1878691410104296,0.30740268479199856,-0.050591540154047605,0.9996767629698426,0.0,0.0017918320197520506,0.0,-1.605779349539639,-1.6048831438428952
70,15.542979514911794,-0.12841369866089256,1.0,3.068837833614753e-06,3.391286639841123,0.05466530898738704,0.05465298633251887,1.0561740442481056,0.2546828539522196,0.4189041677146097,-0.07024357749754191,0.9995491912220137,0.0,0.002090098115599073,0.0,-1.605895184907039,-1.6048496645194712
71,15.540436206992124,-0.1284050458241656,1.0,6.402808246140376e-06,3.4590264722434565,0.07447156395403728,0.07444869532570586,1.0772900720881569,0.3347654615862522,0.5542190076225342,-0.09514844873959744,0.9993858990144983,0.0,0.0024003595767308184,0.0,-1.6060493492902335,-1.6048484320173872
