,phi,dphi,delta,rhoChi,kh,t,N,a,E,B,G,H,sigmaE,sigmaB,s,xi,xieff
10,15.55,-0.12844042552976434,1.0,3.2970980948522134e-58,3.211010638244109,4.942015304873831e-23,4.94201530487383e-23,1.0,2.5511736023405565e-22,4.117948828106197e-22,-6.455349892407218e-23,1.0,6.548991743806994e-14,0.0,3.274495871903497e-14,-1.6055053191220543,-1.6055053191220543
11,15.55,-0.12844042552976434,1.0,1.0541145077802676e-55,3.211010638244109,4.942015305318613e-22,4.942015305318612e-22,1.0,2.5511736025701526e-21,4.117948828476835e-21,-6.455349892987894e-22,1.0,2.093805751450305e-13,0.0,1.0469028757251525e-13,-1.6055053191220543,-1.6055053191220543
12,15.55,-0.12844042552976434,1.0,3.37037860633976e-53,3.211010638244109,4.942015305363091e-21,4.94201530536309e-21,1.0,2.5511736025930824e-20,4.117948828513964e-20,-6.455349893045015e-21,1.0,6.694735133757938e-13,0.0,3.347367566878969e-13,-1.6055053191220543,-1.6055053191220543
13,15.55,-0.12844042552976434,1.0,1.077717868073479e-50,3.211010638244109,4.9420153053675384e-20,4.942015305367537e-20,1.0,2.5511736025952803e-19,4.117948828517886e-19,-6.455349893047692e-20,1.0,2.1407502160511476e-12,0.0,1.0703751080255738e-12,-1.6055053191220543,-1.6055053191220543
14,15.55,-0.12844042552976434,1.0,3.4464144472584137e-48,3.211010638244109,4.942015305367983e-19,4.942015305367982e-19,1.0,2.5511736025951974e-18,4.11794882851895e-18,-6.455349893038276e-19,1.0,6.845965580711276e-12,0.0,3.4229827903556383e-12,-1.6055053191220543,-1.6055053191220543
15,15.55,-0.12844042552976434,1.0,1.1022154334271827e-45,3.211010638244109,4.942015305368027e-18,4.942015305368026e-18,1.0,2.55117360259422e-17,4.117948828521195e-17,-6.4553498930063526e-18,1.0,2.1894754899593505e-11,0.0,1.0947377449796753e-11,-1.6055053191220543,-1.6055053191220543
16,15.55,-0.12844042552976434,1.0,3.525352871613938e-43,3.211010638244109,4.942015305368032e-17,4.9420153053680306e-17,1.0,2.551173602591023e-16,4.1179488285282656e-16,-6.455349892904063e-17,1.0,7.002976717371203e-11,0.0,3.5014883586856015e-11,-1.6055053191220543,-1.6055053191220543
17,15.55,-0.12844042552976434,1.0,1.1276553605483936e-40,3.2110106382441104,4.942015305368033e-16,4.942015305368031e-16,1.0000000000000004,2.551173602580789e-15,4.1179488285508704e-15,-6.455349892576846e-16,1.0,2.2400776048824528e-10,0.0,1.1200388024412264e-10,-1.6055053191220543,-1.6055053191220543
18,15.55,-0.12844042552976434,1.0,3.607351407549337e-38,3.2110106382441246,4.942015305368032e-15,4.942015305368032e-15,1.0000000000000049,2.55117360254803e-14,4.1179488286231646e-14,-6.455349891530036e-15,1.0,7.16608269252962e-10,0.0,3.58304134626481e-10,-1.6055053191220543,-1.6055053191220543
19,15.549999999999995,-0.1284404255297643,1.0,1.1540891926074593e-35,3.211010638244267,4.942015305368033e-14,4.942015305368032e-14,1.0000000000000495,2.55117360244307e-13,4.117948828854262e-13,-6.455349888180847e-14,0.9999999999999998,2.2926593548920487e-09,0.0,1.1463296774460246e-09,-1.6055053191220543,-1.6055053191220543
20,15.549999999999939,-0.1284404255297641,1.0,3.6925787480861726e-33,3.211010638245695,4.942015305368033e-13,4.942015305368024e-13,1.0000000000004943,2.5511736021057668e-12,4.1179488295917615e-12,-6.455349877464021e-13,0.9999999999999961,7.33561995161806e-09,0.0,3.667809975809045e-09,-1.6055053191220576,-1.6055053191220576
21,15.549999999999367,-0.12844042552976173,1.0,1.1815721548170797e-30,3.2110106382599772,4.9420153053680335e-12,4.942015305367933e-12,1.000000000004942,2.5511736010116204e-11,4.117948831932328e-11,-6.455349843164946e-12,0.9999999999999594,2.3473308882666594e-08,0.0,1.1736654441333774e-08,-1.605505319122087,-1.605505319122087
22,15.549999999993654,-0.12844042552973817,1.0,3.7812157320518056e-28,3.211010638402797,4.942015305368034e-11,4.9420153053670264e-11,1.0000000000494202,2.5511735973622096e-10,4.117948839228681e-10,-6.455349733341941e-11,0.9999999999995923,7.511949207520886e-08,0.0,3.755974603761974e-08,-1.6055053191223816,-1.6055053191223816
23,15.549999999936526,-0.12844042552950238,0.9999999999999999,1.210163478155429e-25,3.2110106398309943,4.942015305368033e-10,4.942015305357961e-10,1.0000000004942016,2.5511735842035195e-09,4.117948860640721e-09,-6.455349381275475e-10,0.9999999999959236,2.404210366145957e-07,0.0,1.2021051830778786e-07,-1.6055053191253243,-1.6055053191253243
24,15.549999999365246,-0.12844042552714466,0.9999999999999974,3.8734563621664775e-23,3.2110106541129726,4.942015305368033e-09,4.942015305267305e-09,1.0000000049420152,2.5511735272996802e-08,4.1179489097747656e-08,-6.455348248646118e-09,0.9999999999592358,7.695457648942731e-07,0.0,3.847728824628215e-07,-1.6055053191547553,-1.6055053191547553
25,15.549999993652456,-0.12844042550356755,0.9999999999999192,1.2399265689953832e-20,3.2110107969327624,4.9420153053680324e-08,4.9420153043607494e-08,1.0000000494201542,2.5511731973013026e-07,4.1179488730387265e-07,-6.455344565802072e-08,0.9999999995923593,2.463424660270195e-06,0.0,1.2317123306371935e-06,-1.6055053194490634,-1.6055053194490634
26,15.549999936524546,-0.1284404252677966,0.999999999997413,3.9695031442874224e-18,3.2110122251312694,4.942015305368032e-07,4.9420152952952e-07,1.0000004942016516,2.551170662491347e-06,4.117946815280092e-06,-6.455332204358657e-07,0.9999999959235938,7.886559117678012e-06,0.0,3.9432795749134164e-06,-1.6055053223921494,-1.6055053223921494
27,15.549999365245458,-0.12844042291010443,0.9999999999171698,1.2709109202086492e-15,3.2110265071594,4.942015305368033e-06,4.94201520463972e-06,1.0000049420274164,2.5511477639874467e-05,4.1179208261142144e-05,-6.455286917604075e-06,0.9999999592359367,2.5251015602088224e-05,0.0,1.2625508315711131e-05,-1.6055053518232272,-1.6055053518232272
28,15.54999365245516,-0.1284403993349129,0.9999999973478094,4.068979331535672e-13,3.2111693311653555,4.942015305368032e-05,4.942014298085027e-05,1.0000494213641762,0.0002550926631656248,0.000411764361927298,-6.455084832090531e-05,0.9999995923594422,8.0854066373578e-05,0.0,4.042704966649407e-05,-1.6055056461556285,-1.6055056461556285
29,15.549936524609823,-0.1284401637559268,0.9999999150848397,1.3012704904707357e-10,3.212597925120505,0.0004942015305368033,0.0004942005232550291,1.0004943226604528,0.0025487417623267835,0.004114817575022547,-0.0006453867180820784,0.9999959236019001,0.0002588426403790157,0.0,0.00012942184776448216,-1.6055085916412568,-1.6055085916412568
30,15.549370983186344,-0.1284378484806336,0.9999973227908745,4.019332592561219e-08,3.2267747254940975,0.004897392210627521,0.004897293294447487,1.0049093046349344,0.02504513749089158,0.040499233049851466,-0.006386187425416049,0.9999596048205713,0.0008224092005995982,0.0,0.0004112212116544288,-1.605537962001975,-1.605537962001975
31,15.547429079943248,-0.1284301269771961,0.9999778462477181,1.306306996926964e-06,3.2759292951170145,0.020017250423963507,0.020015597972633907,1.020217253223445,0.0994728171857995,0.16172335024023882,-0.02598101519685036,0.9998349016837466,0.0016563101523965895,0.0,0.0008282918257840982,-1.6056416759521572,-1.6056416759521572
32,15.54502058297128,-0.1284210233478309,0.9999405707084605,6.467528840887479e-06,3.337929475308741,0.03877128573757693,0.038765086778171226,1.0395262565030972,0.18603741429396348,0.30444464894713574,-0.05004236124096313,0.9996802454578382,0.002280859161876544,0.0,0.0011407943551149926,-1.605776246096271,-1.605776246096271
33,15.542068592279994,-0.12841054043355637,0.9998814519044332,1.9382714258323055e-05,3.415511943963535,0.06175905274523677,0.06174332472173661,1.0636892869422296,0.2841286879564835,0.46860172111348214,-0.07918293313885152,0.9994907044808025,0.0028370141174426317,0.0,0.0014192298661328485,-1.6059496583845267,-1.6059496583845267
34,15.53846342087338,-0.12839867825730983,0.9997941790866822,4.5614309684275755e-05,3.5126930107680905,0.08983572193675465,0.08980244517665573,1.093958145648146,0.39309309957891264,0.6542701839600029,-0.11426964438674943,0.9992592443509861,0.0033591797171326956,0.0,0.001680834946548063,-1.6061732601321106,-1.6061732601321106
35,15.5339617212607,-0.1283851978563515,0.9996671112740817,9.403943148672596e-05,3.637902673580073,0.1248979214070711,0.12483360562317157,1.132959919222045,0.514371446790002,0.8654518400882981,-0.15734360277824888,0.9989702536835714,0.0038704597793176513,0.0,0.0019372247396986246,-1.606469228975387,-1.606469228975387
36,15.52817859837783,-0.12836982793728108,0.9994807646232027,0.00017891317615128675,3.805274554082707,0.16994576907200437,0.16982670397266578,1.1850994604956726,0.6495551393921816,1.107071882045513,-0.21154210585057343,0.9985990427543822,0.004384971332271152,0.0,0.002195561554002856,-1.6068740110045252,-1.6068740110045252
37,15.520548673996942,-0.12835246524542962,0.999204043970536,0.00032170265932803953,4.037841219090797,0.22938696150199894,0.2291700672422753,1.2575558898870094,0.7989479194860009,1.382365289819978,-0.28121938071654373,0.9981093508505887,0.00490815005094195,0.0,0.0024587236091712923,-1.6074449299574196,-1.6074449299574196
