,phi,dphi,delta,rhoChi,kh,t,N,a,E,B,G,kS,H,sigmaE,sigmaB,s,xi,xieff
10,15.55,-0.12844042552976434,1.0,2.296943376404857e-58,3.211010638244109,4.277895997043717e-23,4.2778959970437164e-23,1.0,2.208341064920055e-22,3.5645694561919363e-22,-5.587865225146451e-23,3.211010638244109,1.0,6.088919289003059e-14,0.0,0.0,-1.6055053191220543,-1.6055053191220543
11,15.55,-0.12844042552976434,1.0,7.343515844516336e-56,3.211010638244109,4.277895997428728e-22,4.277895997428727e-22,1.0,2.208341065118805e-21,3.564569456512747e-21,-5.587865225649359e-22,3.211010638244109,1.0,1.9467042733159794e-13,0.0,0.0,-1.6055053191220543,-1.6055053191220543
12,15.55,-0.12844042552976434,1.0,2.3479709960440077e-53,3.211010638244109,4.277895997467229e-21,4.277895997467228e-21,1.0,2.2083410651386803e-20,3.564569456544828e-20,-5.58786522569965e-21,3.211010638244109,1.0,6.22436110866947e-13,0.0,0.0,-1.6055053191220543,-1.6055053191220543
13,15.55,-0.12844042552976434,1.0,7.507872378429561e-51,3.211010638244109,4.277895997471079e-20,4.2778959974710785e-20,1.0,2.208341065140668e-19,3.5645694565480365e-19,-5.58786522570468e-20,3.211010638244109,1.0,1.9903301949146836e-12,0.0,0.0,-1.6055053191220543,-1.6055053191220543
14,15.55,-0.12844042552976434,1.0,2.400916337978207e-48,3.211010638244109,4.277895997471464e-19,4.277895997471463e-19,1.0,2.2083410651408664e-18,3.564569456548357e-18,-5.587865225705182e-19,3.211010638244109,1.0,6.3648997388511506e-12,0.0,0.0,-1.6055053191220543,-1.6055053191220543
15,15.55,-0.12844042552976434,1.0,7.678452546850979e-46,3.211010638244109,4.277895997471503e-18,4.277895997471502e-18,1.0,2.2083410651408865e-17,3.56456945654839e-17,-5.587865225705232e-18,3.211010638244109,1.0,2.0356102524239837e-11,0.0,0.0,-1.6055053191220543,-1.6055053191220543
16,15.55,-0.12844042552976434,1.0,2.455881842676702e-43,3.211010638244109,4.2778959974715065e-17,4.277895997471506e-17,1.0,2.2083410651408887e-16,3.5645694565483924e-16,-5.587865225705238e-17,3.211010638244109,1.0,6.51080779810051e-11,0.0,0.0,-1.6055053191220543,-1.6055053191220543
17,15.55,-0.12844042552976434,1.0,7.855591357181134e-41,3.2110106382441104,4.2778959974715067e-16,4.2778959974715057e-16,1.0000000000000004,2.2083410651408863e-15,3.564569456548389e-15,-5.587865225705237e-16,3.2110106382441104,1.0,2.0826336035257414e-10,0.0,0.0,-1.6055053191220543,-1.6055053191220543
18,15.55,-0.12844042552976434,1.0,2.5129770945729376e-38,3.211010638244123,4.277895997471507e-15,4.2778959974715054e-15,1.0000000000000042,2.2083410651408706e-14,3.564569456548369e-14,-5.587865225705231e-15,3.211010638244123,1.0,6.662376943481252e-10,0.0,0.0,-1.6055053191220543,-1.6055053191220543
19,15.549999999999995,-0.1284404255297643,1.0,8.039647363677128e-36,3.211010638244246,4.2778959974715064e-14,4.277895997471506e-14,1.0000000000000429,2.2083410651407067e-13,3.5645694565481543e-13,-5.5878652257051683e-14,3.211010638244246,0.9999999999999998,2.131495681076032e-09,0.0,0.0,-1.6055053191220543,-1.6055053191220543
20,15.549999999999946,-0.12844042552976412,1.0,2.5723194412025332e-33,3.211010638245482,4.2778959974715063e-13,4.277895997471499e-13,1.0000000000004279,2.208341065139077e-12,3.5645694565460126e-12,-5.587865225704534e-13,3.211010638245482,0.9999999999999964,6.819919521538484e-09,0.0,0.0,-1.6055053191220572,-1.6055053191220572
21,15.549999999999452,-0.12844042552976206,1.0,8.231004722476327e-31,3.2110106382578447,4.277895997471506e-12,4.277895997471431e-12,1.000000000004278,2.2083410651227823e-11,3.564569456524629e-11,-5.587865225698242e-12,3.2110106382578447,0.9999999999999648,2.182298741493226e-08,0.0,0.0,-1.6055053191220823,-1.6055053191220823
22,15.549999999994506,-0.12844042552974166,1.0,2.634034675784782e-28,3.211010638381472,4.277895997471506e-11,4.277895997470751e-11,1.000000000042779,2.208341064959851e-10,3.564569456310797e-10,-5.5878652256353394e-11,3.211010638381472,0.9999999999996472,6.983770390603413e-08,0.0,0.0,-1.6055053191223372,-1.6055053191223372
23,15.549999999945056,-0.12844042552953758,1.0,8.430075451370413e-26,3.2110106396177454,4.277895997471506e-10,4.277895997463958e-10,1.0000000004277896,2.208341063330531e-09,3.5645694541724715e-09,-5.587865225006274e-10,3.2110106396177454,0.9999999999964715,2.2351524699833772e-07,0.0,0.0,-1.6055053191248847,-1.6055053191248847
24,15.549999999450547,-0.1284404255274967,1.0,2.698257758548137e-23,3.211010651980478,4.277895997471506e-09,4.2778959973960316e-09,1.000000004277896,2.208341047037325e-08,3.564569432789206e-08,-5.587865218715584e-09,3.211010651980478,0.999999999964714,7.154288913387354e-07,0.0,0.0,-1.6055053191503608,-1.6055053191503608
25,15.549999994505454,-0.12844042550708795,1.0,8.637300862214746e-21,3.211010775607807,4.277895997471506e-08,4.277895996716755e-08,1.0000000427789608,2.2083408841051571e-07,3.564569218956558e-07,-5.5878651558085734e-08,3.211010775607807,0.999999999647139,2.290174578273661e-06,0.0,0.0,-1.6055053194051196,-1.6055053194051196
26,15.549999945054523,-0.12844042530300043,1.0,2.765130196166502e-18,3.2110120118813543,4.2778959974715063e-07,4.277895989923994e-07,1.0000004277896906,2.2083392547807797e-06,3.5645670806311875e-06,-5.587864526733965e-07,3.2110120118813543,0.9999999964713904,7.331858857031185e-06,0.0,0.0,-1.605505321952707,-1.605505321952707
