,E,t,ddphi,dphi,kh,phi,xi,H,G,a,B,N
0,0.0,0.0,0.0005300832073166784,-0.12844042552976434,3.2110106382441086,15.55,-1.6055053191220543,1.0,0.0,1.0,0.0,0.0
1,0.4282463240190917,0.1,0.0003928555290816059,-0.12839462382771774,3.5472973973525006,15.537158361714209,-1.6062572183533175,0.9991754617556188,-0.12649165608178933,1.105125350822396,0.7148173246978443,0.09995876819420156
2,0.7264963001927071,0.2,0.00029142181208233084,-0.1283606649420295,3.918845831062184,15.524320681675166,-1.6071578212235398,0.9983514316931525,-0.24656355813910097,1.2212013767338927,1.2472313230206153,0.19983510923947403
3,0.9411023718398586,0.3,0.0002164276361114909,-0.1283354608390386,4.329250162443931,15.511485937786308,-1.608169010509946,0.997527778488467,-0.36110531688218644,1.3493581933288952,1.6511649805645618,0.29962906705709086
4,1.1026865745313954,0.4,0.00016096811187883312,-0.1283167302449167,4.7824821761168055,15.498653374378128,-1.6092626057072095,0.9967044050940211,-0.4706981397181749,1.4908414233679494,1.963457917105435,0.39934067423637204
5,1.2313363576879373,0.5,0.0001199451813799883,-0.12830278746180243,5.2829257380868615,15.485822432626925,-1.6104177679339255,0.9958812397668061,-0.575654108186836,1.6470238879243009,2.209387722582972,0.49896995499093044
6,1.3400701753435906,0.6,8.959387177323965e-05,-0.12829238656965516,5.835417113881406,15.472992699179898,-1.611619083842112,0.9950582294530568,-0.6760686570413434,1.819418468706404,2.4063957685155444,0.5985169273416642
7,1.4371543871833088,0.7,6.713302953739013e-05,-0.12828460647012327,6.445289691334151,15.460163868217023,-1.6128551506617521,0.9942353349081618,-0.7718756011081997,2.009692257704123,2.5666053805023545,0.6979816047292834
8,1.5276585959929796,0.8,5.0507731675604255e-05,-0.12827876603489863,7.118423379178574,15.447335713425288,-1.614117530937802,0.9934125270943612,-0.8629003036885915,2.219682121694928,2.6985277692615037,0.7973639972060387
9,1.6145061042089497,0.9,3.819927686694252e-05,-0.12827436146423463,7.861299089726344,15.434508067291942,-1.615399980241794,0.9925897845206924,-0.9489090903054753,2.4514118216396756,2.808219475093033,0.8966641123166922
10,1.6991898969979418,1.0,2.9084986429622963e-05,-0.12827102002893587,8.68105877620451,15.421680805801111,-1.61669787640942,0.9917670912778815,-1.029653567953357,2.707110840703158,2.9000680326767987,0.9958819557499996
11,1.7822665161327074,1.1,2.2334734540067534e-05,-0.12826846590327307,9.585571550421665,15.408853837121272,-1.6180077976244152,0.9909444355861485,-1.104908483117083,2.9892350896673308,2.9773245585294004,1.0950175318206115
