,E,B,G
45,-8.06413070225424e+52,2.608228526763478e+53,4.80498773631433e+52
46,1.8089463909877882e+54,5.013228026349962e+54,6.692893743275844e+53
47,-1.5193900335233062e+55,4.8874488900899885e+55,8.962292119956829e+54
48,3.4070795470067845e+56,9.416862161781955e+56,1.2500884578933106e+56
49,-2.866891509683737e+57,9.176397990153867e+57,1.6756335470298042e+57
50,6.427068530379649e+58,1.7719889290998352e+59,2.3401584987088815e+58
51,-5.416780203845473e+59,1.7260088121124918e+60,3.13961326143313e+59
52,1.2141320772226431e+61,3.3397945096295164e+61,4.389741829703723e+60
53,-1.0247562092999459e+62,3.251853004825019e+62,5.894234134072074e+61
54,2.2966533457414866e+63,6.304167378981137e+63,8.249829650869051e+62
55,-1.940948882242372e+64,6.13592280837152e+64,1.1085630204766452e+64
56,4.349713487125813e+65,1.1916164832528923e+66,1.5530880113137602e+65
57,-3.680354872514244e+66,1.1594187397930604e+67,2.088390635592193e+66
58,8.247550837220087e+67,2.2552925536821125e+68,2.928418387859176e+67
59,-6.985829469764017e+68,2.1936533839721024e+69,3.940265594636105e+68
60,1.5655092793687422e+70,4.27354495535261e+70,5.529729370496052e+69
61,-1.3273090418905978e+71,4.1555015647674053e+71,7.444783575045168e+70
62,2.974561355157994e+72,8.106959217618601e+72,1.0455910494675394e+72
63,-2.524220292589163e+73,7.880815639503494e+73,1.4084690388786622e+73
64,5.657179886847769e+74,1.5395037012974192e+75,1.979545881724699e+74
65,-4.804640837904739e+75,1.4961639134199434e+76,2.6679129407573185e+75
66,1.0768678009622871e+77,2.926363077724139e+77,3.752129452188511e+76
67,-9.152763276846963e+77,2.8432728339321183e+78,5.059290429769159e+77
68,2.0515771947148503e+79,5.567685382192814e+79,7.119755505423089e+78
69,-1.7449458011119337e+80,5.408327449949938e+80,9.604375869412927e+79
70,3.9116143091429114e+81,1.0602218307615228e+82,1.3523748928805204e+81
71,-3.329141988667299e+82,1.0296475287275422e+83,1.825077351828778e+82
72,7.463597186116531e+83,2.020565675788542e+84,2.5712625403867955e+83
73,-6.356044697898625e+84,1.9618847727291927e+85,3.471360122723347e+84
74,1.4251060230858346e+86,3.853751974836363e+86,4.8931449677576925e+85
75,-1.2143128856528492e+87,3.7410861854008155e+87,6.608461326425316e+86
76,2.722934127064765e+88,7.355481285026112e+88,9.31964350999237e+87
77,-2.3213957348489348e+89,7.139090043215886e+89,1.2591034644346442e+89
78,5.205991276956578e+90,1.4048772730239499e+91,1.7764755556097267e+90
79,-4.440476263130816e+91,1.3633018505768194e+92,2.400837709669396e+91
80,9.959385195015615e+92,2.685037328404972e+93,3.388822124885601e+92
81,-8.498836887117093e+93,2.605131236653788e+94,4.58127204375625e+93
82,1.9063904201629815e+95,5.134909087843539e+95,6.4691963966432595e+94
83,-1.6275247790959108e+96,4.981282613756601e+96,8.748111108737062e+95
84,3.651150253652314e+97,9.82590494848409e+97,1.2357986622572325e+97
85,-3.1183384909546285e+98,9.53044960818958e+98,1.6715977582971098e+98
86,6.996409616008143e+99,1.8812977790969884e+100,2.3622505695790373e+99
87,-5.977732525719016e+100,1.824457807772254e+101,3.1961273899000402e+100
88,1.3413381243284464e+102,3.603930249779325e+102,4.51825988738296e+101
89,-1.1464574942056804e+103,3.4945475362628813e+103,6.114737057698637e+102
90,2.572819677372631e+104,6.907461918463301e+104,8.647102518364921e+103
91,-2.19977849228941e+105,6.696903309549048e+105,1.1705243480760447e+105
92,4.937187256361856e+106,1.3245673644813545e+107,1.65581656845761e+106
93,-4.22270996998996e+107,1.2840236582731555e+108,2.2419220244501318e+107
94,9.478523905851016e+108,2.541170548564758e+109,3.172378088523332e+108
95,-8.109370610524524e+109,2.4630803115917635e+110,4.296226397189614e+109
96,1.8204756776994067e+111,4.877408804933336e+111,6.08104752185188e+110
97,-1.5579710222479213e+112,4.726959680363453e+112,8.237024500999047e+111
98,3.497879019372355e+113,9.365522081349582e+113,1.1662265170551123e+113
99,-2.994339864114895e+114,9.075588135023279e+114,1.5800131287319908e+114
100,6.723470834008835e+115,1.799097573783768e+116,2.2376359525604534e+115
101,-5.757127451887375e+116,1.7432091490510035e+117,3.0321408439002317e+116
102,1.2928394851633378e+118,3.457404488923709e+118,4.2952601572711966e+117
103,-1.1073057019361106e+119,3.349645111796076e+119,5.821409246959388e+118
104,2.4868632530962435e+120,6.646785874485254e+120,8.248501951993278e+119
105,-2.130494450881223e+121,6.438961845300458e+121,1.1181221036849213e+121
106,4.785305102047866e+122,1.2783002379180124e+123,1.5846697971845257e+122
107,-4.1005206700588075e+123,1.2382097724671512e+124,2.1484507131612046e+123
108,9.211117502610282e+124,2.4592787383860454e+125,3.045604742909091e+124
109,-7.8947460870544e+125,2.381923748226795e+126,4.129807099852771e+125
110,1.7735964038882318e+127,4.7329366812008e+127,5.855618021939016e+126
111,-1.5204529846623156e+128,4.5836452770982365e+128,7.941378418904737e+127
112,3.4161124843121154e+129,9.111635633661426e+129,1.1262378877513798e+129
113,-2.929131345320444e+130,8.823446291945764e+130,1.5276282429662504e+130
114,6.581725477286351e+131,1.754686953188366e+132,2.1669047949783004e+131
115,-5.6445757712167616e+132,1.699043359886661e+133,2.939607710864339e+132
116,1.268449534127694e+134,3.3801487210018165e+134,4.1705781279636654e+133
117,-1.0880433135047413e+135,3.272689389154683e+135,5.658555106700481e+134
118,2.4452781133523703e+136,6.51328803062561e+136,8.029604544684696e+135
119,-2.0978744217868835e+137,6.305719040327665e+137,1.0895848287481473e+137
120,4.715209383731276e+138,1.2554191691653756e+139,1.5464238121771063e+138
121,-4.046014353648799e+139,1.2153169960628235e+140,2.0987030584398696e+139
122,9.094683064884652e+140,2.42045561075951e+141,2.979165613683927e+140
123,-7.805241745606886e+141,2.342963365784622e+142,4.043624035414818e+141
124,1.754625392882114e+143,4.667899352356303e+143,5.741006312448164e+142
125,-1.5060966936355661e+144,4.51812710243615e+144,7.793202843632215e+143
126,3.3860086661851825e+145,9.004469375121212e+145,1.1066349973975999e+145
127,-2.9068566481315203e+146,8.714944964974203e+146,1.5023892196823238e+146
128,6.535747314852518e+147,1.7374147778247471e+148,2.1337312864824953e+147
129,-5.611713538712909e+148,1.6814367299310065e+149,2.8971183679664407e+148
130,1.2618357902581023e+150,3.35315993565897e+150,4.115192401578812e+149
