# This data is taken from: https://arxiv.org/abs/2005.03544
# Adaptation: added in frequencies in Hz corresponding to T in GeV
#
### Effective degrees of freedom for the energy density and for the entropy density in the Standard Model.
### Data points are spaced over the interval in log(T).
### 
### K. Saikawa and S. Shirai (2020).
#
T[GeV] f[Hz] g_*rho g_*s
817502.0 0.021620051149397985 104.4 104.395
858377.0 0.022701159772012786 104.403 104.398
901296.0 0.02383633587017325 104.406 104.401
946361.0 0.02502827779988172 104.409 104.404
993679.0 0.026279816203709203 104.412 104.407
1043360.0 0.02759386111972963 104.415 104.41
1095530.0 0.02897374579754745 104.418 104.413
1150310.0 0.03042267131370693 104.421 104.416
1207820.0 0.03194381235849924 104.424 104.419
1268210.0 0.03354113711156893 104.427 104.422
1331630.0 0.03521861382848203 104.43 104.425
1398210.0 0.03697968188324178 104.433 104.428
1468120.0 0.03882877667542242 104.435 104.43
