# This data is taken from: https://arxiv.org/abs/2005.03544
# Adaptation: added in frequencies in Hz corresponding to T in GeV
#
### Effective degrees of freedom for the energy density and for the entropy density in the Standard Model.
### Data points are spaced over the interval in log(T).
### 
### K. Saikawa and S. Shirai (2020).
#
T[GeV] f[Hz] g_*rho g_*s
0.000934555 1.6857501622281473e-11 10.5177 10.5208
0.000981283 1.7706297773097076e-11 10.5378 10.5404
0.00103035 1.85973374718414e-11 10.5561 10.5582
0.00108186 1.9532431820100357e-11 10.5727 10.5744
0.00113596 2.0514254073185388e-11 10.5878 10.5892
0.00119276 2.1544850071596824e-11 10.6015 10.6026
0.00125239 2.262642783390509e-11 10.6139 10.6149
0.00131501 2.3762121846572764e-11 10.6252 10.626
0.00138076 2.495440539121729e-11 10.6355 10.6361
0.0014498 2.6206143622540726e-11 10.6448 10.6452
0.00152229 2.7520068839144762e-11 10.6532 10.6536
0.00159841 2.889983260524939e-11 10.6609 10.6611
0.00167833 3.034808775571448e-11 10.6678 10.668
0.00176224 3.186851036908849e-11 10.6741 10.6743
0.00185035 3.346498174138619e-11 10.6798 10.6799
0.00194287 3.514112699195669e-11 10.685 10.6851
0.00204002 3.690112059992786e-11 10.6897 10.6897
0.00214202 3.874875575427077e-11 10.694 10.694
0.00224912 4.068858466263769e-11 10.6978 10.6978
0.00236157 4.272523464225206e-11 10.7013 10.7013
0.00247965 4.4863759050416955e-11 10.7045 10.7045
0.00260363 4.710902851826257e-11 10.7074 10.7074
0.00273382 4.9466635393386434e-11 10.71 10.71
0.00287051 5.194188875500481e-11 10.7124 10.7124
0.00301403 5.4540665441854534e-11 10.7145 10.7145
0.00316473 5.726945305726367e-11 10.7165 10.7165
0.00332297 6.013485932141635e-11 10.7183 10.7182
0.00348912 6.31432002419782e-11 10.7199 10.7198
0.00366358 6.630166951901828e-11 10.7213 10.7213
0.00384675 6.961799692743804e-11 10.7226 10.7226
0.00403909 7.310030541046363e-11 10.7238 10.7238
0.00424105 7.675673237035606e-11 10.7249 10.7249
0.0044531 8.059577614574525e-11 10.7259 10.7259
0.00467575 8.462665789140369e-11 10.7268 10.7268
0.00490954 8.885914049812986e-11 10.7276 10.7276
0.00515502 9.330316648912588e-11 10.7283 10.7283
0.00541277 9.796937205764148e-11 10.729 10.729
0.00568341 1.0286882657106468e-10 10.7296 10.7296
0.00596758 1.0801326550178287e-10 10.7302 10.7302
0.00626596 1.1341482765997635e-10 10.7307 10.7307
0.00657926 1.1908653002989816e-10 10.7312 10.7312
0.00690822 1.2504177321834236e-10 10.7317 10.7317
0.00725363 1.3129547496151742e-10 10.7323 10.7322
0.00761631 1.3786193420567486e-10 10.7329 10.7327
0.00799713 1.4475691051982275e-10 10.7337 10.7335
0.00839698 1.5199817825657875e-10 10.7348 10.7344
0.00881683 1.5960281270783765e-10 10.7363 10.7357
0.00925767 1.675907293754498e-10 10.7385 10.7375
0.00972056 1.7598157829360235e-10 10.7416 10.7401
0.0102066 1.8480437434411226e-10 10.7474 10.7447
0.0107169 1.940684095664233e-10 10.7535 10.7498
0.0112528 2.038088010516735e-10 10.7619 10.7567
0.0118154 2.140488348134291e-10 10.7733 10.7662
0.0124062 2.2482229679639413e-10 10.7884 10.7787
0.0130265 2.3615785673841125e-10 10.808 10.7951
0.0136778 2.4809267209290077e-10 10.8332 10.8162
0.0143617 2.6066323625120895e-10 10.8647 10.8427
0.0150798 2.7391069933681436e-10 10.9037 10.8756
0.0158338 2.8787661066409455e-10 10.9511 10.9158
0.0166255 3.0260645966918137e-10 11.0078 10.9641
0.0174567 3.1814477490457616e-10 11.0746 11.0214
0.0183296 3.345489805333865e-10 11.1524 11.0883
0.019246 3.5186226744562056e-10 11.2416 11.1655
0.0202083 3.701414829929719e-10 11.3426 11.2535
0.0212188 3.8944543462053107e-10 11.4557 11.3524
0.0222797 4.0982127951628546e-10 11.5807 11.4625
0.0233937 4.313330702424547e-10 11.7175 11.5836
0.0245634 4.54033168840133e-10 11.8653 11.7153
0.0257915 4.779817051385515e-10 12.0237 11.8573
0.0270811 5.032376444316166e-10 12.1916 12.0089
0.0284352 5.298600022590464e-10 12.3679 12.1692
0.0298569 5.579112178537835e-10 12.5516 12.3373
0.0313498 5.874535531592254e-10 12.7411 12.512
0.0329173 6.185524890748158e-10 12.9353 12.6923
0.0345631 6.512711125186043e-10 13.1326 12.8769
0.0362913 6.856858237465403e-10 13.3319 13.0648
0.0381058 7.218657637129874e-10 13.5318 13.2547
0.0400111 7.598972571958985e-10 13.7313 13.4455
0.0420117 7.998525134480443e-10 13.9292 13.6365
0.0441123 8.418307854904516e-10 14.1249 13.8266
0.0463179 8.859252583948622e-10 14.3178 14.0153
0.0486338 9.322380595956988e-10 14.5075 14.2022
0.0510655 9.80887969918718e-10 14.694 14.3869
0.0536187 1.0319929399292458e-09 14.8776 14.5697
0.0562997 1.0856916257520394e-09 15.0587 14.7507
0.0591147 1.14212880331521e-09 15.2382 14.9305
0.0620704 1.2014723878019308e-09 15.4174 15.1099
0.0651739 1.2638947937898786e-09 15.5978 15.2903
0.0684326 1.329601034425051e-09 15.7815 15.4732
0.0718542 1.3988114841431484e-09 15.9709 15.6605
0.075447 1.471774498117717e-09 16.1691 15.8549
0.0792193 1.5487649138304036e-09 16.3798 16.0595
0.0831803 1.630119746264618e-09 16.6078 16.2781
0.0873393 1.7161981444250723e-09 16.8586 16.5155
0.0917062 1.807435391165634e-09 17.1395 16.7779
0.0962916 1.9043526836506015e-09 17.4594 17.0726
0.101106 2.007531646919369e-09 17.8294 17.4093
0.106161 2.1177016817335876e-09 18.2638 17.8
0.11147 2.2357665637152466e-09 18.7808 18.2599
0.117043 2.3626846751206763e-09 19.4027 18.8081
0.122895 2.5109064182755134e-09 20.5446 19.7647
0.12904 2.6647179600512706e-09 21.6674 20.733
0.135492 2.83499307429148e-09 23.13 21.9827
0.142266 3.0198528219118892e-09 24.8698 23.474
0.14938 3.221605976328761e-09 26.9704 25.2769
0.156849 3.4370052915367442e-09 29.3163 27.3087
0.164691 3.6642374993091853e-09 31.8258 29.5094
0.172926 3.910896004053533e-09 34.7725 32.0877
0.181572 4.153945402414907e-09 37.2288 34.3412
0.190651 4.40000184644699e-09 39.3766 36.3872
0.200183 4.647908972815874e-09 41.1201 38.1349
0.210192 4.900266793772665e-09 42.5287 39.6228
0.220702 5.168606168092214e-09 44.0202 41.1632
0.231737 5.45129331534294e-09 45.5114 42.6973
0.243324 5.746551097186335e-09 46.9113 44.1552
0.25549 6.059240585494755e-09 48.3656 45.6462
0.268265 6.389252426664614e-09 49.8492 47.1587
0.281678 6.727218471833003e-09 51.0139 48.4192
0.295762 7.081031089655327e-09 52.1015 49.6073
0.31055 7.452897384439379e-09 53.1577 50.7576
