# This data is taken from: https://arxiv.org/abs/1803.01038
# Adaptation: added in frequencies in Hz corresponding to T in GeV
#
# Original Header:
### Effective degrees of freedom for the energy density and for the entropy density in the Standard Model.
### Data points are spaced over the interval in log(T).
### 
### K. Saikawa and S. Shirai (2018).
#
#
T[GeV] f[Hz] g_*rho g_*s
3.0630163e-06 4.3506192587470415e-14 3.3830836 3.9309363
3.079069e-06 4.373420046903112e-14 3.3830836 3.9309363
3.0952058e-06 4.3963402882529696e-14 3.3830836 3.9309363
3.1114272e-06 4.4193806929820727e-14 3.3830836 3.9309363
3.1277336e-06 4.442541829238785e-14 3.3830836 3.9309363
3.1441255e-06 4.4658244072085645e-14 3.3830836 3.9309363
3.1606033e-06 4.489228995039776e-14 3.3830836 3.9309363
3.1771674e-06 4.512756160880785e-14 3.3830836 3.9309363
3.1938184e-06 4.536406756954138e-14 3.3830836 3.9309363
3.2105566e-06 4.56018120937111e-14 3.3830836 3.9309363
3.2273825e-06 4.584080228317157e-14 3.3830836 3.9309363
3.2442966e-06 4.608104523977737e-14 3.3830836 3.9309363
3.2612994e-06 4.6322548065383045e-14 3.3830836 3.9309363
3.2783913e-06 4.656531644147225e-14 3.3830836 3.9309363
3.2955727e-06 4.680935604952865e-14 3.3830836 3.9309363
3.3128442e-06 4.705467541177772e-14 3.3830836 3.9309363
3.3302062e-06 4.7301280209703104e-14 3.3830836 3.9309363
3.3476592e-06 4.754917754515938e-14 3.3830836 3.9309363
3.3652036e-06 4.7798373099630184e-14 3.3830836 3.9309363
3.3828401e-06 4.8048876815711914e-14 3.3830836 3.9309363
3.4005689e-06 4.8300691534146404e-14 3.3830836 3.9309363
3.4183906e-06 4.855382577715913e-14 3.3830836 3.9309363
3.4363058e-06 4.880828806697554e-14 3.3830836 3.9309363
3.4543148e-06 4.906408266470843e-14 3.3830836 3.9309363
3.4724183e-06 4.932121951295415e-14 3.3830836 3.9309363
3.4906166e-06 4.9579702872825454e-14 3.3830836 3.9309363
3.5089102e-06 4.9839539846176907e-14 3.3830836 3.9309363
3.5272998e-06 5.010074037560489e-14 3.3830836 3.9309363
3.5457857e-06 5.036330872222215e-14 3.3830836 3.9309363
3.5643685e-06 5.0627253408254164e-14 3.3830836 3.9309363
3.5830487e-06 5.08925815355555e-14 3.3830836 3.9309363
3.6018268e-06 5.115930020598072e-14 3.3830836 3.9309363
3.6207033e-06 5.1427416521384394e-14 3.3830836 3.9309363
3.6396788e-06 5.169693900399199e-14 3.3830836 3.9309363
3.6587536e-06 5.1967871914916255e-14 3.3830836 3.9309363
3.6779285e-06 5.22402266171245e-14 3.3830836 3.9309363
3.6972038e-06 5.251400737172945e-14 3.3830836 3.9309363
3.7165802e-06 5.2789224121327504e-14 3.3830836 3.9309363
3.7360581e-06 5.306588254740232e-14 3.3830836 3.9309363
3.7556381e-06 5.334399117217936e-14 3.3830836 3.9309363
3.7753207e-06 5.36235570975132e-14 3.3830836 3.9309363
3.7951064e-06 5.390458742525841e-14 3.3830836 3.9309363
3.8149959e-06 5.418709209801138e-14 3.3830836 3.9309363
3.8349896e-06 5.4471076797255744e-14 3.3830836 3.9309363
3.855088e-06 5.475654862484609e-14 3.3830836 3.9309363
3.8752919e-06 5.5043518943749714e-14 3.3830836 3.9309363
3.8956015e-06 5.533199059470845e-14 3.3830836 3.9309363
3.9160177e-06 5.5621976361060486e-14 3.3830836 3.9309363
3.9365408e-06 5.5913480503918594e-14 3.3830836 3.9309363
3.9571715e-06 5.620651296587916e-14 3.3830836 3.9309363
3.9779103e-06 5.650108084879673e-14 3.3830836 3.9309363
3.9987578e-06 5.679719267489681e-14 3.3830836 3.9309363
4.0197145e-06 5.709485554603393e-14 3.3830836 3.9309363
4.0407811e-06 5.739407940480453e-14 3.3830836 3.9309363
4.0619581e-06 5.769487135306313e-14 3.3830836 3.9309363
