,xi,B,rhoChi,dphi,sigmaB,H,N,kh,G,E,kS,ddphi,xieff,phi,sigmaE,a,t
0,-1.6055053191220543,0.0,0.0,-0.12844042552976434,0.0,1.0,0.0,3.2110106382441086,0.0,0.0,3.2110106382441086,0.0005300832073166784,-1.6055053191220543,15.55,0.0,1.0,0.0
1,-1.606257218353323,0.7148173245962012,0.0,-0.12839462382771819,0.0,0.9991754617556188,0.09995876819420155,3.547297397352525,-0.12649165610544288,0.4282463243200871,3.547297397352525,0.000392855529082939,-1.606257218353323,15.537158361714209,0.0,1.105125350822396,0.1
2,-1.6071578212237103,1.2472313224995226,0.0,-0.12836066494204318,0.0,0.9983514316931532,0.19983510923947384,3.9188458310626166,-0.2465635580106115,0.7264963005954881,3.9188458310626166,0.00029142181212340443,-1.6071578212237103,15.52432068167517,0.0,1.2212013767338925,0.2
3,-1.6081690105082622,1.6511649835282984,0.0,-0.12833546083890351,0.0,0.9975277784884613,0.29962906705709286,4.329250162439305,-0.36110531692709763,0.9411023759055098,4.329250162439305,0.00021642763570609458,-1.6081690105082622,15.511485937786265,0.0,1.3493581933288978,0.3
4,-1.6092626057049857,1.9634579211360552,0.0,-0.12831673024473841,0.0,0.9967044050940137,0.3993406742363747,4.78248217611018,-0.4706981398056598,1.1026865787711517,4.78248217611018,0.00016096811134431942,-1.6092626057049857,15.49865337437807,0.0,1.4908414233679534,0.4
5,-1.6104177679340568,2.209387721831243,0.0,-0.12830278746181295,0.0,0.9958812397668065,0.4989699549909304,5.282925738087299,-0.5756541081215222,1.2313363575148686,5.282925738087299,0.00011994518141146075,-1.6104177679340568,15.48582243262693,0.0,1.6470238879243009,0.5
6,-1.6116190838422466,2.406395767515648,0.0,-0.12829238656966593,0.0,0.9950582294530573,0.5985169273416642,5.835417113881896,-0.6760686569529581,1.3400701750532686,5.835417113881896,8.959387180548842e-05,-1.6116190838422466,15.472992699179903,0.0,1.819418468706404,0.6
7,-1.6128551506605378,2.5666053817314123,0.0,-0.12828460647002615,0.0,0.9942353349081577,0.6979816047292849,6.445289691329277,-0.7718756011629951,1.4371543880844277,6.445289691329277,6.713302924684676e-05,-1.6128551506605378,15.460163868216993,0.0,2.0096922577041263,0.7
8,-1.6141175309377833,2.6985277686367257,0.0,-0.1282787660348971,0.0,0.993412527094361,0.7973639972060387,7.118423379178489,-0.8629003037425904,1.5276585956670774,7.118423379178489,5.0507731670943284e-05,-1.6141175309377833,15.447335713425286,0.0,2.219682121694928,0.8
9,-1.6153999802419734,2.8082194741312563,0.0,-0.12827436146424898,0.0,0.9925897845206931,0.8966641123166921,7.861299089727225,-0.9489090905532481,1.6145061049695022,7.861299089727225,3.819927690997267e-05,-1.6153999802419734,15.434508067291947,0.0,2.451411821639675,0.9
