,G,E,ddphi,phi,N,a,s,delta,xi,sigmaE,B,dphi,H,t,rhoChi,xieff,kh,sigmaB
0,0.0,0.0,0.0005300832073166784,15.55,0.0,1.0,0.0,1.0,-1.6055053191220543,0.0,0.0,-0.12844042552976434,1.0,0.0,0.0,-1.6055053191220543,3.2110106382441086,0.0
1,-0.12649165604950538,0.42824632414626496,0.00039285552908277044,15.537158361714205,0.09995876819420152,1.105125350822396,0.0,1.0,-1.6062572183533228,0.0,0.714817324654076,-0.12839462382771813,0.9991754617556186,0.1,0.0,-1.6062572183533228,3.5472973973525237,0.0
2,-0.2465635578337306,0.7264962998504337,0.00029142181212323144,15.524320681675166,0.19983510923947378,1.2212013767338925,0.0,1.0,-1.6071578212237103,0.0,1.2472313226030245,-0.12836066494204312,0.9983514316931528,0.2,0.0,-1.6071578212237103,3.918845831062615,0.0
3,-0.361105316650382,0.9411023748875448,0.00021642763570958173,15.511485937786258,0.29962906705709275,1.3493581933288976,0.0,1.0,-1.608169010508277,0.0,1.651164983806472,-0.12833546083890465,0.997527778488461,0.3,0.0,-1.608169010508277,4.329250162439344,0.0
4,-0.4706981397569629,1.102686574776474,0.0001609681119120857,15.498653374378124,0.3993406742363718,1.4908414233679492,0.0,1.0,-1.6092626057073487,0.0,1.9634579171668483,-0.1283167302449278,0.9967044050940211,0.4,0.0,-1.6092626057073487,4.782482176117249,0.0
5,-0.5756541080517763,1.23133635695403,0.00011994518145386874,15.485822432626927,0.49896995499093,1.6470238879243002,0.0,1.0,-1.6104177679342337,0.0,2.2093877220921967,-0.12830278746182708,0.9958812397668068,0.5,0.0,-1.6104177679342337,5.282925738087877,0.0
6,-0.6760686567165207,1.3400701759196338,8.95938717396991e-05,15.472992699179889,0.5985169273416643,1.8194184687064041,0.0,1.0,-1.6116190838419726,0.0,2.406395768485002,-0.12829238656964395,0.995058229453056,0.6,0.0,-1.6116190838419726,5.8354171138808955,0.0
7,-0.7718756007152756,1.4371543865287564,6.713302953587704e-05,15.46016386821702,0.6979816047292833,2.009692257704123,0.0,1.0,-1.6128551506617461,0.0,2.5666053797508117,-0.12828460647012277,0.9942353349081616,0.7,0.0,-1.6128551506617461,6.445289691334125,0.0
8,-0.8629003033241531,1.5276585954512525,5.050773178483695e-05,15.447335713425296,0.7973639972060378,2.2196821216949263,0.0,1.0,-1.6141175309382603,0.0,2.698527767526639,-0.1282787660349352,0.9934125270943625,0.8,0.0,-1.6141175309382603,7.1184233791806,0.0
9,-0.9489090902025697,1.6145061040294395,3.819927686838206e-05,15.434508067291938,0.8966641123166919,2.4514118216396747,0.0,1.0,-1.6153999802418,0.0,2.8082194738248227,-0.12827436146423507,0.9925897845206921,0.9,0.0,-1.6153999802418,7.861299089726373,0.0
10,-1.0296535676975185,1.6991898967312125,2.9084986426116457e-05,15.421680805801106,0.9958819557499995,2.707110840703158,0.0,1.0,-1.616697876409405,0.0,2.900068031943226,-0.12827102002893467,0.9917670912778813,1.0,0.0,-1.616697876409405,8.681058776204425,0.0
11,-1.104908482756454,1.7822665166155207,2.2334734514186222e-05,15.408853837121265,1.095017531820612,2.989235089667332,0.0,1.0,-1.6180077976243066,0.0,2.9773245581780214,-0.12826846590326438,0.9909444355861479,1.1,0.0,-1.6180077976243066,9.585571550421019,0.0
12,-1.1745018665167266,1.8637012864635514,1.733456436758855e-05,15.396027093240587,1.1940708438256509,3.3004896749925656,0.0,1.0,-1.6193272104468894,0.0,3.0424635333852925,-0.12826649492159115,0.9901218087216692,1.2,0.0,-1.6193272104468894,10.583506462820626,0.0
13,-1.2383366066950148,1.9431124011856253,1.3630287001843506e-05,15.383200523780594,1.2930418943086228,3.6438539328629362,0.0,1.0,-1.620654239085445,0.0,3.0974243947248485,-0.12826495592379597,0.9892992042227453,1.3,0.0,-1.620654239085445,11.684412587490929,0.0
14,-1.296403197448855,2.0199443937663344,1.0885824566172425e-05,15.370374091419718,1.3919306852547961,4.022608952377914,0.0,1.0,-1.6219874947113935,0.0,3.1437724145762362,-0.12826373696635707,0.9884766173026163,1.4,0.0,-1.6219874947113935,12.898807120057317,0.0
15,-1.348784074517368,2.093590613573561,8.852435893528616e-06,15.357547768506986,1.490737218235887,4.440367832791139,0.0,1.0,-1.6233259491611176,0.0,3.1828047292022617,-0.12826275512742613,0.9876540444150187,1.5,0.0,-1.6233259491611176,14.238272267517534,0.0
16,-1.3956505433702293,2.1634775569294167,7.345976086121032e-06,15.34472153455575,1.5894614945172267,4.901108943529516,0.0,1.0,-1.624668841460109,0.0,3.2156194746083453,-0.128261948967406,0.9868314829326656,1.6,0.0,-1.624668841460109,15.71556178663449,0.0
17,-1.4372537453991245,2.229119814856737,6.2300886269518455e-06,15.3318953743883,1.6881035151371626,5.409212481852099,0.0,1.0,-1.626015608622895,0.0,3.2431605179501566,-0.12826127295199896,0.9860089309092334,1.7,0.0,-1.626015608622895,17.344718112172856,0.0
18,-1.473911349785883,2.2901520642831876,5.40377913254304e-06,15.31906927676197,1.7866632809659058,5.969500651646175,0.0,1.0,-1.6273658344112634,0.0,3.266246404050971,-0.1282606933258576,0.985186386903124,1.8,0.0,-1.6273658344112634,19.141201108808595,0.0
19,-1.5059917118665933,2.3463431488544693,4.792226596331462e-06,15.306243233351596,1.8851407927491461,6.587281818246203,0.0,1.0,-1.62871921138272,0.0,3.2855894532633982,-0.1282601850589089,0.9843638498469369,1.9,0.0,-1.62871921138272,21.122029581794738,0.0
20,-1.53389710523052,2.3975965395706935,4.339986773000304e-06,15.293417237995657,1.9835360511404005,7.2683990285612206,0.0,1.0,-1.6300755127745123,0.0,3.301808946937659,-0.12825972958588785,0.9835413189507709,2.0,0.0,-1.6300755127745123,23.3059367922053,0.0
21,-1.5580474017940158,2.44394088823483,4.005963846136423e-06,15.280591286137662,2.0818490567249976,8.019283323492958,0.0,1.0,-1.6314345716696832,0.0,3.315440996396084,-0.12825931313267452,0.9827187936305668,2.1,0.0,-1.6314345716696832,25.713541343843712,0.0
22,-1.5788652382621748,2.485513956900748,3.7596894796925776e-06,15.267765374412104,2.1800798100378773,8.847012310933117,0.0,1.0,-1.6327962655555848,0.0,3.326946665002901,-0.12825892547682125,0.9818962734549979,2.2,0.0,-1.6327962655555848,28.36753494164124,0.0
23,-1.5967633812584523,2.5225427258717223,3.578568673339193e-06,15.254939500337496,2.278228311576793,9.75937451288508,0.0,1.0,-1.6341605048763328,0.0,3.3367192656947187,-0.12825855902940622,0.9810737581060951,2.3,0.0,-1.6341605048763328,31.292888666712784,0.0
24,-1.6121346547706135,2.5553220006384016,3.4458407387677526e-06,15.242113662088723,2.3762945618121223,10.764940049836675,0.0,1.0,-1.6355272245440988,0.0,3.345091282570969,-0.12825820815474515,0.9802512473500476,2.4,0.0,-1.6355272245440988,34.51707957239746,0.0
25,-1.6253445340532782,2.5841933362722673,3.349069405736252e-06,15.229287858328192,2.474278561194137,11.873138279824186,0.0,1.0,-1.6368963776430898,0.0,3.3523410897518096,-0.12825786866623004,0.9794287410155438,2.5,0.0,-1.6368963776430898,38.070339579905315,0.0
26,-1.6367262791939203,2.609525596989723,3.2790244754072037e-06,15.21646208808053,2.5721803101584158,13.094343069121035,0.0,1.0,-1.6382679307586152,0.0,3.3586994805153947,-0.12825753745259774,0.9786062389777026,2.6,0.0,-1.6382679307586152,41.98592884304639,0.0
27,-1.646578329830877,2.6316980086209654,3.2288532961563916e-06,15.203636350639597,2.669999809129859,14.439966436644188,0.0,1.0,-1.6396418605109204,0.0,3.3643559298771324,-0.1282572122008156,0.977783741146146,2.7,0.0,-1.6396418605109204,46.30043596051949,0.0
28,-1.655163598409785,2.65108616065427,3.193466814511748e-06,15.190810645499466,2.7677370585256758,15.922561385532171,0.0,1.0,-1.641018150982378,0.0,3.3694644934558955,-0.1282568911905541,0.9769612474561485,2.8,0.0,-1.641018150982378,51.05410764309209,0.0
29,-1.662710257990575,2.6680511032113015,3.1690845262749734e-06,15.177984972303133,2.8653920587576036,17.555934813492474,0.0,1.0,-1.6423967918073132,0.0,3.374149253384256,-0.12825657314171404,0.9761387578620614,2.9,0.0,-1.6423967918073132,56.29121069358555,0.0
30,-1.669413627943768,2.6829314064494456,3.1528971133558097e-06,15.165159330804444,2.962964810233559,19.35527147908131,0.0,1.0,-1.6437777767533703,0.0,3.3785092422461416,-0.12825625710127905,0.9753162723324309,3.0,0.0,-1.6437777767533703,62.060429431933535,0.0
31,-1.6754387984408083,2.69603791965222,3.14281627191886e-06,15.152333720839792,3.060455313358867,21.337270094760985,0.0,1.0,-1.6451611026676527,0.0,3.3826228108235328,-0.1282559423593277,0.9744937908463708,3.1,0.0,-1.6451611026676527,68.41530199794725,0.0
32,-1.680923680254223,2.707650832526797,3.1372891460546127e-06,15.139508142307083,3.1578635685371785,23.520292720140336,0.0,1.0,-1.64654676869361,0.0,3.386551429887638,-0.12825562838667146,0.9736713133908658,3.2,0.0,-1.64654676869361,75.414699293234,0.0
33,-1.6859822312289714,2.7180186216747346,3.1351606482979104e-06,15.126682595150085,3.2551895761711487,25.924528741073605,0.0,1.0,-1.6479347756889393,0.0,3.3903429434406696,-0.12825531478853588,0.9728488399587689,3.3,0.0,-1.6479347756889393,83.12335068364494,0.0
34,-1.6907076673172632,2.727358456496218,3.135571276190643e-06,15.113857079346799,3.3524333366629495,28.57217484318099,0.0,1.0,-1.649325125792764,0.0,3.3940343071142633,-0.1282550012701459,0.972026370547309,3.4,0.0,-1.649325125792764,91.6124209775884,0.0
35,-1.6951755217405755,2.7358576649577486,3.1378812554239357e-06,15.101031594900803,3.4495948504146456,31.487632522851065,0.0,1.0,-1.6507178221037113,0.0,3.397653864298451,-0.12825468761114855,0.9712039051569846,3.5,0.0,-1.6507178221037113,100.9601436267101,0.0
36,-1.699446463132203,2.7436759132960797,3.1416142055353717e-06,15.0882061418348,3.54667411782848,34.69772482597703,0.0,1.0,-1.6521128684403994,0.0,3.401223204384633,-0.12825437364659611,0.9703814437907373,3.6,0.0,-1.6521128684403994,111.25251556730153,0.0
37,-1.7035688227872545,2.750947812162122,3.1464152910418427e-06,15.075380720185825,3.6436711393070866,38.23193416574665,0.0,1.0,-1.6535102691631693,0.0,3.4047586701715575,-0.12825405925280242,0.969558986453339,3.7,0.0,-1.6535102691631693,122.58405963712464,0.0
38,-1.707580811355387,2.7577857129430177,3.1520201253891406e-06,15.06255533000167,3.740585915253646,42.12266324704413,0.0,1.0,-1.6549100290413745,0.0,3.4082725613078124,-0.1282537443368203,0.9687365331509346,3.8,0.0,-1.6549100290413745,135.05866106730434,0.0
39,-1.7115124213481843,2.7642825247525242,3.1582316524728614e-06,15.04972997133822,3.8374184460720113,46.405521317842364,0.0,1.0,-1.6563121531545475,0.0,3.411774083007033,-0.12825342882860938,0.9679140838907004,3.9,0.0,-1.6563121531545475,148.79048516704142,0.0
40,-1.7153870417945936,2.7705144217256783,3.1649029572166736e-06,15.036904644257469,3.9341687321667904,51.119638178905234,0.0,1.0,-1.6577166468187694,0.0,3.4152700932559443,-0.12825311267520495,0.9670916386805932,4.0,0.0,-1.6577166468187694,163.90498399509607,0.0
41,-1.71922280073662,2.7765433677032956,3.1719244768350452e-06,15.024079348826039,4.0308367739434185,56.30800861386897,0.0,1.0,-1.6591235155318156,0.0,3.418765676860244,-0.12825279583637472,0.9662691975291586,4.1,0.0,-1.6591235155318156,180.540000551671,0.0
42,-1.7230336699663256,2.782419396460531,3.1792144851013254e-06,15.011254085114075,4.12742257180821,62.0178701541606,0.0,1.0,-1.6605327649322648,0.0,3.4222645924666577,-0.12825247828138275,0.9654467604453918,4.2,0.0,-1.6605327649322648,198.8469798333707,0.0
43,-1.726830364509321,2.7881826364570057,3.1867120070339084e-06,14.998428853194428,4.223926126168395,68.3011173692496,0.0,1.0,-1.6619444007690238,0.0,3.4257696106902706,-0.12825215998657755,0.9646243274386317,4.3,0.0,-1.6619444007690238,218.99229697876325,0.0
44,-1.7306210633893555,2.7938650710880246,3.1943715434626994e-06,14.985603653142036,4.320347437432156,75.21475617460361,0.0,1.0,-1.6633584288786023,0.0,3.4292827699318313,-0.12825184093359354,0.9638018985184839,4.4,0.0,-1.6633584288786023,241.15871369973908,0.0
45,-1.7344119878079034,2.79949204688634,3.2021591398858035e-06,14.972778485033464,4.416686506008641,82.82140197981704,0.0,1.0,-1.664774855168176,0.0,3.4328055688811676,-0.12825152110800966,0.9629794736947603,4.5,0.0,-1.664774855168176,265.54697525198543,0.0
46,-1.738207853773597,2.805083544247411,3.2100494578987192e-06,14.959953348946572,4.512943332307988,91.18982586031481,0.0,1.0,-1.6661936856029564,0.0,3.4363391131565084,-0.12825120049834857,0.9621570529774384,4.6,0.0,-1.6661936856029564,292.377561354874,0.0
47,-1.7420122287613782,2.8106552417098922,3.2180235902576447e-06,14.947128244960242,4.609117916741346,100.3955533306386,0.0,1.0,-1.6676149261967859,0.0,3.4398842192014083,-0.1282508790953296,0.9613346363766253,4.7,0.0,-1.6676149261967859,321.8926057359485,0.0
48,-1.745827807784704,2.8162193921460545,3.226067432397677e-06,14.934303173154206,4.705210259720872,110.52152072871061,0.0,1.0,-1.6690385830051193,0.0,3.4434414949948446,-0.12825055689131085,0.9605122239025367,4.8,0.0,-1.6690385830051193,354.3580003580094,0.0
49,-1.749656627668345,2.821785534892465,3.2341704677039077e-06,14.921478133608895,4.801220361659754,121.6587946920276,0.0,1.0,-1.6704646621198156,0.0,3.4470113963105864,-0.12825023387987297,0.9596898155654767,4.9,0.0,-1.6704646621198156,390.0657018983329,0.0
50,-1.7535002301032319,2.827361080860489,3.2423248597837557e-06,14.908653126405332,4.8971482229722145,133.90736072214284,0.0,1.0,-1.6718931696652541,0.0,3.4505942724762684,-0.12824991005550765,0.9588674113758253,5.0,0.0,-1.6718931696652541,429.33625970168987,0.0
51,-1.7573597867459276,2.83295177341822,3.2505247764501634e-06,14.895828151625054,4.9929938440735135,147.37698739710504,0.0,1.0,-1.6733241117954574,0.0,3.454190393362395,-0.12824958541338516,0.9580450113440281,5.1,0.0,-1.6733241117954574,472.52158623445473,0.0
52,-1.761236193823649,2.8385620608676043,3.258765883236983e-06,14.88300320935006,5.088757225379964,162.18817340710217,0.0,1.0,-1.6747574946919603,0.0,3.4577999737539167,-0.12824925994918057,0.9572226154805892,5.2,0.0,-1.6747574946919603,520.0079930403105,0.0
53,-1.7651301432116036,2.844195389326446,3.2670449659547452e-06,14.870178299662754,5.1844383673089265,178.47318526122,0.0,1.0,-1.6761933245622382,0.0,3.461423190199043,-0.12824893365894358,0.9564002237960649,5.3,0.0,-1.6761933245622382,572.2195173541954,0.0
54,-1.7690421766986002,2.8498544348434978,3.2753596488913147e-06,14.857353422645929,5.280037270278826,196.37719424819358,0.0,1.0,-1.6776316076385516,0.0,3.465060191388462,-0.1282486065390014,0.9555778363010607,5.4,0.0,-1.6776316076385516,629.6215668870159,0.0
55,-1.772972723675377,2.8555412830686744,3.2837081830753175e-06,14.844528578382727,5.375553934709144,216.05952203698376,0.0,1.0,-1.679072350177108,0.0,3.468711104763996,-0.12824827858588597,0.9547554530062269,5.5,0.0,-1.679072350177108,692.724912867415,0.0
56,-1.7769221343107442,2.8612575670774083,3.2920892889984357e-06,14.831703766956636,5.470988361020432,237.69500518020246,0.0,1.0,-1.680515558457449,0.0,3.4723760454982413,-0.1282479497962795,0.9539330739222577,5.6,0.0,-1.680515558457449,762.0900642386175,0.0
57,-1.7808906993732154,2.8670045794635057,3.3005020393751287e-06,14.818878988451464,5.566340549634315,261.4754897415604,0.0,1.0,-1.681961238782024,0.0,3.476055120064037,-0.12824762016697366,0.9531106990598885,5.7,0.0,-1.681961238782024,838.3320589796041,0.0
58,-1.7848786665309964,2.872783354510099,3.3089457695298514e-06,14.806054242951337,5.661610500973489,287.6114683150581,0.0,1.0,-1.683409397475888,0.0,3.4797484275423383,-0.1282472896948392,0.9522883284298951,5.8,0.0,-1.683409397475888,922.1257118743966,0.0
59,-1.7888862524479139,2.8785947323320458,3.3174200125558713e-06,14.793229530540694,5.7567982154617345,316.33387284659364,0.0,1.0,-1.6848600408864953,0.0,3.483456062746506,-0.12824695837680286,0.9514659620430937,5.9,0.0,-1.6848600408864953,1014.2113617168096,0.0
60,-1.7929136522014473,2.8844394052876643,3.32592444914266e-06,14.780404851304276,5.8519036935239095,347.89603791679735,0.0,1.0,-1.686313175383579,0.0,3.487178117041798,-0.12824662620983035,0.9506435999103385,6.0,0.0,-1.686313175383579,1115.401164938695,0.0
61,-1.7969610454794338,2.8903179577952574,3.3344588717190217e-06,14.767580205327125,5.9469269355859655,382.5758505068196,0.0,1.0,-1.6877688073590698,0.0,3.49091468336004,-0.12824629319091355,0.949821242042523,6.1,0.0,-1.6877688073590698,1226.5859870182949,0.0
62,-1.801028600357133,2.896230893570348,3.343023155114044e-06,14.75475559269459,6.041867942074942,420.6781037568296,0.0,1.0,-1.6892269432270697,0.0,3.494665849884832,-0.12824595931706068,0.9489988884505791,6.2,0.0,-1.6892269432270697,1348.7429477949208,0.0
63,-1.8051164784971154,2.902178657343164,3.3516172375393618e-06,14.74193101349231,6.136726713418976,462.53707385158896,0.0,1.0,-1.6906875894238518,0.0,3.498431706645637,-0.12824562458528926,0.9481765391454763,6.3,0.0,-1.6906875894238518,1482.9436820234996,0.0
64,-1.809224834973646,2.9081616495058453,3.360241103540847e-06,14.729106467806227,6.231503250047299,508.5193409409009,0.0,1.0,-1.6921507524078818,0.0,3.5022123419037245,-0.12824528899262044,0.9473541941382224,6.4,0.0,-1.6921507524078818,1630.363382186903,0.0
