,rhoChi,xi,B,dphi,sigmaE,H,N,kS,kh,xieff,G,E,ddphi,sigmaB,phi,a,t
10,0.0,-1.6166978764099722,2.9000680316285234,-0.1282710200289799,0.0,0.9917670912778837,0.995881955749999,8.681058776207498,8.681058776207498,-1.6166978764099722,-1.0296535680935053,1.699189897540596,2.9084986561300516e-05,0.0,15.421680805801126,2.707110840703157,1.0
11,0.0,-1.6180077976246248,2.977324558307509,-0.1282684659032897,0.0,0.9909444355861492,1.0950175318206117,9.585571550422912,9.585571550422912,-1.6180077976246248,-1.1049084831738265,1.7822665170459726,2.233473458975208e-05,0.0,15.408853837121278,2.9892350896673308,1.1
12,0.0,-1.6193272104471024,3.042463533476944,-0.1282664949216081,0.0,0.9901218087216704,1.1940708438256509,10.583506462822037,10.583506462822037,-1.6193272104471024,-1.174501866730485,1.8637012872203491,1.7334564418444542e-05,0.0,15.396027093240598,3.3004896749925647,1.2
13,0.0,-1.620654239085635,3.0974243951648037,-0.1282649559238111,0.0,0.9892992042227464,1.2930418943086226,11.684412587492314,11.684412587492314,-1.620654239085635,-1.2383366068846775,1.9431124016152863,1.3630287047036482e-05,0.0,15.383200523780603,3.643853932862936,1.3
14,0.0,-1.6219874947114965,3.143772414659929,-0.1282637369663652,0.0,0.9884766173026168,1.391930685254796,12.89880712005814,12.89880712005814,-1.6219874947114965,-1.2964031979089456,2.019944394152292,1.0885824590558554e-05,0.0,15.370374091419723,4.022608952377913,1.4
15,0.0,-1.6233259491612269,3.1828047286385237,-0.1282627551274349,0.0,0.9876540444150196,1.490737218235887,14.238272267518502,14.238272267518502,-1.6233259491612269,-1.3487840747591595,2.093590614287137,8.852435919627651e-06,0.0,15.357547768506995,4.440367832791138,1.5
16,0.0,-1.6246688414602233,3.215619474228121,-0.1282619489674151,0.0,0.9868314829326664,1.589461494517226,15.715561786635607,15.715561786635607,-1.6246688414602233,-1.3956505436751934,2.1634775566260886,7.345976113277077e-06,0.0,15.34472153455576,4.901108943529512,1.6
17,0.0,-1.626015608622976,3.2431605173281084,-0.1282612729520054,0.0,0.986008930909234,1.6881035151371624,17.34471811217372,17.34471811217372,-1.626015608622976,-1.4372537456637786,2.22911981473398,6.230088646057307e-06,0.0,15.331895374388306,5.409212481852097,1.7
18,0.0,-1.627365834411303,3.266246404225793,-0.1282606933258608,0.0,0.9851863869031244,1.7866632809659055,19.14120110880906,19.14120110880906,-1.627365834411303,-1.4739113501899073,2.290152064620341,5.4037791420501416e-06,0.0,15.319069276761978,5.969500651646174,1.8
19,0.0,-1.628719211382751,3.2855894531067182,-0.1282601850589114,0.0,0.9843638498469376,1.8851407927491464,21.12202958179516,21.12202958179516,-1.628719211382751,-1.505991711916292,2.3463431497124203,4.792226603993808e-06,0.0,15.306243233351603,6.587281818246204,1.9
20,0.0,-1.6300755127745068,3.301808946915553,-0.1282597295858875,0.0,0.9835413189507716,1.9835360511404008,23.30593679220521,23.30593679220521,-1.6300755127745068,-1.5338971049662058,2.3975965403957584,4.3399867719914905e-06,0.0,15.293417237995666,7.268399028561222,2.0
21,0.0,-1.631434571669688,3.315440996141763,-0.1282593131326749,0.0,0.9827187936305674,2.081849056724998,25.71354134384377,25.71354134384377,-1.631434571669688,-1.5580474010198857,2.443940888720568,4.005963847385024e-06,0.0,15.280591286137671,8.019283323492962,2.1
22,0.0,-1.632796265555604,3.32694666470428,-0.1282589254768228,0.0,0.9818962734549984,2.180079810037878,28.36753494164158,28.36753494164158,-1.632796265555604,-1.5788652379112251,2.48551395699711,3.759689484453772e-06,0.0,15.267765374412113,8.847012310933126,2.2
23,0.0,-1.6341605048763488,3.3367192655686413,-0.1282585590294075,0.0,0.9810737581060958,2.2782283115767945,31.29288866671312,31.29288866671312,-1.6341605048763488,-1.5967633809670043,2.52254272529471,3.5785686773253963e-06,0.0,15.254939500337503,9.759374512885092,2.3
24,0.0,-1.6355272245441022,3.345091282598584,-0.1282582081547454,0.0,0.9802512473500482,2.376294561812123,34.51707957239756,34.51707957239756,-1.6355272245441022,-1.61213465454307,2.5553219997113605,3.445840739758677e-06,0.0,15.242113662088732,10.764940049836683,2.4
25,0.0,-1.6368963776430938,3.35234108971521,-0.1282578686662304,0.0,0.9794287410155444,2.474278561194138,38.07033957990542,38.07033957990542,-1.6368963776430938,-1.6253445338724355,2.5841933361149576,3.3490694067843864e-06,0.0,15.2292878583282,11.873138279824197,2.5
26,0.0,-1.6382679307586197,3.3586994805699746,-0.1282575374525981,0.0,0.9786062389777028,2.572180310158416,41.98592884304652,41.98592884304652,-1.6382679307586197,-1.6367262792032926,2.6095255977003964,3.279024476517768e-06,0.0,15.216462088080537,13.09434306912104,2.6
27,0.0,-1.6396418605109226,3.3643559301948494,-0.1282572122008158,0.0,0.9777837411461464,2.66999980912986,46.3004359605196,46.3004359605196,-1.6396418605109226,-1.6465783293743972,2.631698008541798,3.228853296750412e-06,0.0,15.203636350639604,14.439966436644209,2.7
28,0.0,-1.641018150982379,3.3694644936968614,-0.1282568911905542,0.0,0.9769612474561492,2.7677370585256766,51.05410764309217,51.05410764309217,-1.641018150982379,-1.6551635982464623,2.6510861607501712,3.193466814894386e-06,0.0,15.190810645499472,15.922561385532186,2.8
29,0.0,-1.6423967918073128,3.3741492530892394,-0.128256573141714,0.0,0.976138757862062,2.865392058757604,56.2912106935856,56.2912106935856,-1.6423967918073128,-1.6627102577496344,2.668051102968966,3.1690845263772323e-06,0.0,15.17798497230314,17.55593481349248,2.9
30,0.0,-1.64377777675337,3.378509242255792,-0.128256257101279,0.0,0.9753162723324312,2.9629648102335597,62.06042943193359,62.06042943193359,-1.64377777675337,-1.6694136274589364,2.6829314069881973,3.1528971135047096e-06,0.0,15.16515933080445,19.35527147908132,3.0
31,0.0,-1.6451611026676527,3.382622811227288,-0.1282559423593277,0.0,0.9744937908463712,3.060455313358868,68.41530199794731,68.41530199794731,-1.6451611026676527,-1.6754387979511565,2.6960379199313635,3.1428162720120736e-06,0.0,15.1523337208398,21.337270094761006,3.1
32,0.0,-1.64654676869361,3.386551430077253,-0.1282556283866715,0.0,0.9736713133908662,3.157863568537179,75.41469929323405,75.41469929323405,-1.64654676869361,-1.680923679802954,2.707650832352708,3.1372891462047336e-06,0.0,15.13950814230709,23.520292720140347,3.2
