,xi,B,kS,dphi,xieff,H,N,kh,sigmaE,rhoChi,G,E,ddphi,sigmaB,phi,a,t
32,-1.64654676869361,3.386551430077253,75.41469929323405,-0.1282556283866715,-1.64654676869361,0.9736713133908662,3.157863568537179,75.41469929323405,0.0,0.0,-1.6809236798029539,2.707650832352708,3.1372891462047336e-06,0.0,15.13950814230709,23.520292720140347,3.2
33,-1.6479347756889386,3.3903429432722914,83.12335068364501,-0.1282553147885359,-1.6479347756889386,0.9728488399587695,3.255189576171149,83.12335068364501,0.0,0.0,-1.685982230763282,2.718018621346518,3.1351606483919955e-06,0.0,15.126682595150093,25.924528741073615,3.3
34,-1.6493251257927628,3.3940343071094397,91.61242097758849,-0.12825500127014594,-1.6493251257927628,0.9720263705473097,3.3524333366629504,91.61242097758849,0.0,0.0,-1.690707666757739,2.727358455184059,3.135571276225804e-06,0.0,15.11385707934681,28.572174843181013,3.4
35,-1.6507178221037107,3.397653863671919,100.96014362671029,-0.1282546876111486,-1.6507178221037107,0.9712039051569853,3.449594850414646,100.96014362671029,0.0,0.0,-1.6951755211969874,2.73585766382667,3.1378812555706985e-06,0.0,15.101031594900814,31.48763252285108,3.5
36,-1.6521128684403987,3.4012232037052623,111.25251556730163,-0.12825437364659614,-1.6521128684403987,0.970381443790738,3.5466741178284806,111.25251556730163,0.0,0.0,-1.6994464631116155,2.7436759133078223,3.141614205534623e-06,0.0,15.08820614183481,34.69772482597705,3.6
37,-1.6535102691631678,3.4047586704081576,122.58405963712464,-0.12825405925280242,-1.6535102691631678,0.9695589864533398,3.643671139307087,122.58405963712464,0.0,0.0,-1.7035688229436035,2.7509478124398075,3.1464152911030404e-06,0.0,15.075380720185835,38.231934165746665,3.7
38,-1.6549100290413736,3.408272561418194,135.05866106730434,-0.1282537443368203,-1.6549100290413736,0.9687365331509352,3.740585915253647,135.05866106730434,0.0,0.0,-1.7075808110801125,2.7577857134570274,3.1520201253791287e-06,0.0,15.06255533000168,42.122663247044166,3.8
39,-1.6563121531545462,3.4117740835519994,148.79048516704154,-0.1282534288286094,-1.6563121531545462,0.9679140838907013,3.837418446072012,148.79048516704154,0.0,0.0,-1.7115124209965715,2.764282524823232,3.158231652571095e-06,0.0,15.049729971338232,46.40552131784241,3.9
40,-1.6577166468187683,3.4152700935902685,163.90498399509622,-0.12825311267520498,-1.6577166468187683,0.967091638680594,3.9341687321667917,163.90498399509622,0.0,0.0,-1.7153870412514174,2.770514421910086,3.16490295730794e-06,0.0,15.036904644257481,51.119638178905305,4.0
41,-1.6591235155318143,3.4187656774414754,180.54000055167117,-0.12825279583637475,-1.6591235155318143,0.9662691975291595,4.030836773943419,180.54000055167117,0.0,0.0,-1.7192228002314738,2.776543367476013,3.171924476983206e-06,0.0,15.024079348826051,56.30800861386902,4.1
42,-1.6605327649322643,3.4222645926890563,198.84697983337088,-0.1282524782813828,-1.6605327649322643,0.9654467604453926,4.1274225718082125,198.84697983337088,0.0,0.0,-1.7230336697457387,2.782419395870914,3.179214485259836e-06,0.0,15.01125408511409,62.01787015416076,4.2
43,-1.6619444007690227,3.4257696109469142,218.99229697876362,-0.1282521599865776,-1.6619444007690227,0.9646243274386327,4.223926126168399,218.99229697876362,0.0,0.0,-1.7268303644601843,2.7881826356562933,3.1867120071431434e-06,0.0,14.998428853194442,68.30111736924984,4.3
44,-1.663358428878601,3.429282770181242,241.1587136997395,-0.12825184093359357,-1.663358428878601,0.9638018985184849,4.320347437432159,241.1587136997395,0.0,0.0,-1.7306210635616912,2.7938650704064187,3.1943715435244786e-06,0.0,14.985603653142052,75.2147561746038,4.4
45,-1.6647748551681736,3.432805569677462,265.5469752519859,-0.12825152110800966,-1.6647748551681736,0.9629794736947616,4.416686506008643,265.5469752519859,0.0,0.0,-1.734411988179998,2.799492046228142,3.2021591399548477e-06,0.0,14.972778485033482,82.82140197981727,4.5
46,-1.6661936856029544,3.436339114153375,292.37756135487473,-0.12825120049834857,-1.6661936856029544,0.9621570529774395,4.512943332307991,292.37756135487473,0.0,0.0,-1.7382078542021564,2.805083544294603,3.2100494578587948e-06,0.0,14.95995334894659,91.18982586031505,4.6
47,-1.667614926196783,3.439884220544228,321.8926057359499,-0.12825087909532956,-1.667614926196783,0.9613346363766266,4.609117916741347,321.8926057359499,0.0,0.0,-1.7420122290097442,2.8106552420261868,3.2180235901556556e-06,0.0,14.947128244960261,100.39555333063869,4.7
48,-1.6690385830051169,3.443441495250874,354.3580003580103,-0.12825055689131085,-1.6690385830051169,0.9605122239025381,4.7052102597208725,354.3580003580103,0.0,0.0,-1.7458278081289922,2.816219392644508,3.2260674324657097e-06,0.0,14.934303173154227,110.52152072871071,4.8
49,-1.6704646621198131,3.447011396879177,390.06570189833366,-0.12825023387987294,-1.6704646621198131,0.9596898155654778,4.801220361659754,390.06570189833366,0.0,0.0,-1.749656627787397,2.821785535586259,3.234170467486193e-06,0.0,14.921478133608915,121.6587946920276,4.9
50,-1.6718931696652524,3.4505942731943358,429.3362597016902,-0.12824991005550765,-1.6718931696652524,0.9588674113758263,4.8971482229722145,429.3362597016902,0.0,0.0,-1.7535002301250389,2.827361081435612,3.242324859784549e-06,0.0,14.90865312640535,133.90736072214284,5.0
51,-1.6733241117954558,3.4541903945106216,472.5215862344552,-0.1282495854133852,-1.6733241117954558,0.9580450113440291,4.992993844073514,472.5215862344552,0.0,0.0,-1.7573597868971746,2.8329517731307345,3.2505247764001533e-06,0.0,14.895828151625071,147.37698739710518,5.1
