,kh,s,G,E,N,ddphi,phi,rhoChi,a,sigmaE,xi,B,xieff,t,dphi,H,sigmaB,delta
0,3.2110106382441086,0.0,0.0,0.0,0.0,0.0005300832073166784,15.55,0.0,1.0,0.0,-1.6055053191220543,0.0,-1.6055053191220543,0.0,-0.12844042552976434,1.0,0.0,1.0
1,3.5472973973525237,0.0,-0.12649165604950538,0.42824632414626496,0.09995876819420152,0.00039285552908277044,15.537158361714205,0.0,1.105125350822396,0.0,-1.6062572183533228,0.714817324654076,-1.6062572183533228,0.1,-0.12839462382771813,0.9991754617556186,0.0,1.0
2,3.918845831062615,0.0,-0.2465635578337306,0.7264962998504337,0.19983510923947378,0.00029142181212323144,15.524320681675166,0.0,1.2212013767338925,0.0,-1.6071578212237103,1.2472313226030245,-1.6071578212237103,0.2,-0.12836066494204312,0.9983514316931528,0.0,1.0
3,4.329250162439344,0.0,-0.361105316650382,0.9411023748875448,0.29962906705709275,0.00021642763570958173,15.511485937786258,0.0,1.3493581933288976,0.0,-1.608169010508277,1.651164983806472,-1.608169010508277,0.3,-0.12833546083890465,0.997527778488461,0.0,1.0
4,4.782482176117249,0.0,-0.4706981397569629,1.102686574776474,0.3993406742363718,0.0001609681119120857,15.498653374378124,0.0,1.4908414233679492,0.0,-1.6092626057073487,1.9634579171668483,-1.6092626057073487,0.4,-0.1283167302449278,0.9967044050940211,0.0,1.0
5,5.282925738087877,0.0,-0.5756541080517763,1.23133635695403,0.49896995499093,0.00011994518145386874,15.485822432626927,0.0,1.6470238879243002,0.0,-1.6104177679342337,2.2093877220921967,-1.6104177679342337,0.5,-0.12830278746182708,0.9958812397668068,0.0,1.0
6,5.8354171138808955,0.0,-0.6760686567165207,1.3400701759196338,0.5985169273416643,8.95938717396991e-05,15.472992699179889,0.0,1.8194184687064041,0.0,-1.6116190838419726,2.406395768485002,-1.6116190838419726,0.6,-0.12829238656964395,0.995058229453056,0.0,1.0
7,6.445289691334125,0.0,-0.7718756007152756,1.4371543865287564,0.6979816047292833,6.713302953587704e-05,15.46016386821702,0.0,2.009692257704123,0.0,-1.6128551506617461,2.5666053797508117,-1.6128551506617461,0.7,-0.12828460647012277,0.9942353349081616,0.0,1.0
8,7.1184233791806,0.0,-0.8629003033241531,1.5276585954512525,0.7973639972060378,5.050773178483695e-05,15.447335713425296,0.0,2.2196821216949263,0.0,-1.6141175309382603,2.698527767526639,-1.6141175309382603,0.8,-0.1282787660349352,0.9934125270943625,0.0,1.0
9,7.861299089726373,0.0,-0.9489090902025697,1.6145061040294395,0.8966641123166919,3.819927686838206e-05,15.434508067291938,0.0,2.4514118216396747,0.0,-1.6153999802418,2.8082194738248227,-1.6153999802418,0.9,-0.12827436146423507,0.9925897845206921,0.0,1.0
10,8.681058776204425,0.0,-1.0296535676975185,1.6991898967312125,0.9958819557499995,2.9084986426116457e-05,15.421680805801106,0.0,2.707110840703158,0.0,-1.616697876409405,2.900068031943226,-1.616697876409405,1.0,-0.12827102002893467,0.9917670912778813,0.0,1.0
